sample	genome	decoil	circ_id	chr_origin	size(MB)	label	topology_idx	topology_name	estimated_proportions
SKNFI_01012021	hg19	decoil_v108_01072023	59	chr16	0.010259		6	foldbacks	249
SKNFI_01012021	hg19	decoil_v108_01072023	28	chr16	0.003375		0	simple_circle	198
SKNFI_01012021	hg19	decoil_v108_01072023	30	chr17	0.00053		0	simple_circle	64
SKNFI_01012021	hg19	decoil_v108_01072023	33	chr18	0.004892		3	multi_region_intra_chr	624
SKNFI_01012021	hg19	decoil_v108_01072023	34	chr18	0.004142		0	simple_circle	626
SKNFI_01012021	hg19	decoil_v108_01072023	37	chr18	0.008188		3	multi_region_intra_chr	412
SKNFI_01012021	hg19	decoil_v108_01072023	38	chr19	0.002402		3	multi_region_intra_chr	1626
SKNFI_01012021	hg19	decoil_v108_01072023	39	chr19	0.002042		3	multi_region_intra_chr	1248
SKNFI_01012021	hg19	decoil_v108_01072023	45	chr19	0.000626		0	simple_circle	43
SKNFI_01012021	hg19	decoil_v108_01072023	46	chr21	0.001746		0	simple_circle	378
SKNFI_01012021	hg19	decoil_v108_01072023	47	chr21	0.000679		0	simple_circle	194
SKNFI_01012021	hg19	decoil_v108_01072023	48	chr3	0.000609		0	simple_circle	32
SKNFI_01012021	hg19	decoil_v108_01072023	49	chr4	0.002594		0	simple_circle	709
SKNFI_01012021	hg19	decoil_v108_01072023	50	chr8	0.001026		0	simple_circle	29
SKNFI_01012021	hg19	decoil_v108_01072023	52	chr8	0.002149		3	multi_region_intra_chr	8433
SKNFI_01012021	hg19	decoil_v108_01072023	53	chr8	0.005339		3	multi_region_intra_chr	118
SKNFI_01012021	hg19	decoil_v108_01072023	55	chr8	0.005904		3	multi_region_intra_chr	47
SKNFI_01012021	hg19	decoil_v108_01072023	56	chr9	0.000624		0	simple_circle	38
SKNFI_01012021	hg19	decoil_v108_01072023	57	chr9	0.000681		0	simple_circle	40
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	3	chr2	2.175929	ecDNA	3	multi_region_intra_chr	171
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	14	chr16	0.002268		3	multi_region_intra_chr	628
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	15	chr16	0.001731		1	simple_sv	3211
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	16	chr16	0.003999		5	simple_duplications	179
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	17	chr16	0.00319		3	multi_region_intra_chr	1503
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	25	chr16	0.00887		5	simple_duplications	164
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	32	chr16	0.006022		3	multi_region_intra_chr	243
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	45	chr16	0.009212		5	simple_duplications	106
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	47	chr16	0.007915		3	multi_region_intra_chr	104
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	70	chr16	0.008439		3	multi_region_intra_chr	265
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	84	chr16	0.01239		5	simple_duplications	58
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	97	chr16	0.010422		5	simple_duplications	108
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	85	chrM	0.016568		0	simple_circle	299
TR14_WGS_20022022	hg38	decoil_v108_01072023	0	chr2	0.246777		3	multi_region_intra_chr	126
TR14_WGS_20022022	hg38	decoil_v108_01072023	7	chr2	0.716187	ecDNA	3	multi_region_intra_chr	488
TR14_WGS_20022022	hg38	decoil_v108_01072023	4	chr12,chr2	0.686841	ecDNA	4	multi_region_inter_chr	89
TR14_WGS_20022022	hg38	decoil_v108_01072023	8	chr1,chr2	1.095274	ecDNA	4	multi_region_inter_chr	22
TR14_WGS_20022022	hg38	decoil_v108_01072023	9	chr12	1.010171	ecDNA	0	simple_circle	109
TR14_WGS_20022022	hg38	decoil_v108_01072023	10	chr16	0.005675		0	simple_circle	614
TR14_WGS_20022022	hg38	decoil_v108_01072023	14	chr16	0.008998		0	simple_circle	179
TR14_WGS_20022022	hg38	decoil_v108_01072023	16	chr16	0.015462		3	multi_region_intra_chr	197
TR14_WGS_20022022	hg38	decoil_v108_01072023	18	chr16	0.008575		3	multi_region_intra_chr	257
TR14_WGS_20022022	hg38	decoil_v108_01072023	20	chr16	0.01425		3	multi_region_intra_chr	56
TR14_WGS_20022022	hg38	decoil_v108_01072023	26	chrM	0.016568		0	simple_circle	290
