sample	genome	decoil	chr	start	end	circ_id	fragment_id	strand	coverage	estimated_proportions
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15586084	15619721	274	261	+	1134	105
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15770463	15772296	274	309	+	1911	105
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15848494	15894275	274	345.349	+	513	105
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5831928	6681978	274	197	-	37	105
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5822690	5825040	274	189	+	43	105
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16094709	16123711	274	457	-	808	105
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6772375	6782872	274	229	+	1350	105
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16081552	16123711	274	445.449.453.457	+	784	105
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5825040	5831928	274	193	+	830	105
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5813617	5822690	274	185	-	834	105
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15790050	15846297	274	325.329.333.337	+	1132	105
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6896022	6911323	274	245.249	+	724	105
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5735381	5756022	325	177	+	178	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6734351	6771403	325	221	+	1243	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15739472	15772296	325	293.297.301.305.309	+	1716	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15772360	15793694	325	317.321.325	+	2092	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15898449	16000298	325	357.361.365.369.373.377.381.385.389.397.401.405.409	+	1306	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15586084	15642668	325	269.265.261	-	1072	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6682645	6782872	325	229.225.221.217.213.209.205	-	1128	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15964255	15967411	325	401	-	2178	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6802127	6896022	325	237	-	798	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15834730	15891112	325	345.341.337	-	940	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15894275	15900101	325	357.353	-	943	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6681978	6706793	325	201.205	+	682	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16081552	16094054	325	449.445	-	908	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6772375	6782872	325	229	-	1350	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16094709	16123711	325	457	+	808	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5825040	5831928	325	193	+	830	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5813617	5822690	325	185	-	834	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15790050	15826389	325	325.329	+	1749	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15621207	15700821	325	269.273	+	533	148
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15621207	15700821	344	273.269	-	533	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15790050	15826389	344	329.325	-	1749	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5813617	5822690	344	185	+	834	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5825040	5831928	344	193	-	830	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16094709	16123711	344	457	-	808	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6772375	6782872	344	229	+	1350	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16081552	16094054	344	445.449	+	908	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6681978	6706793	344	205.201	-	682	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15894275	15900101	344	353.357	+	943	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15834730	15891112	344	337.341.345	+	936	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6802127	15619721	344	237.245.249.253.261	+	768	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15770463	15772296	344	309	-	1911	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15586084	15619721	344	261	-	1134	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16061901	16081552	344	437.433	-	894	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15786600	15790050	344	321	+	1587	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5735381	5813617	344	181.177	-	103	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5726690	5731122	394	169	+	808	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15732146	15772296	394	285.289.293.297.301.305.309	+	1713	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15772360	15891112	394	317.321.325.329.333.337.341.345	+	960	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6802127	6896022	394	237	+	798	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15964255	15967411	394	401	+	2178	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6682645	6782872	394	205.209.213.217.221.225.229	+	1251	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15586084	15642668	394	261.265.269	+	1037	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15947646	16000298	394	409.405.401.397	-	1798	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15904998	15908168	394	369	-	1920	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16030830	16061901	394	429	+	965	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15772360	15786600	394	317	-	1828	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6708791	6728870	394	213	+	1209	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15909302	15910663	394	377	-	1866	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15747181	15766296	394	297	-	1688	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16012932	16016156	394	417	+	756	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16024238	16081552	394	425.429.433.437	+	908	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15586084	15619721	394	261	+	1134	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15770463	15772296	394	309	+	1911	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15848494	15900101	394	345.349.353.357	+	1017	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15834730	15846297	394	337	+	990	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6897385	6911323	394	249	+	802	33
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15772360	15793694	435	317.321.325	+	2092	11
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15898449	16000298	435	357.361.365.369.373.377.381.385.389.397.401.405.409	+	1306	11
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15619721	15642668	435	269.265	-	1011	11
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15772360	15793694	435	317.321.325	+	2092	11
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15898449	16000298	435	357.361.365.369.373.377.381.385.389.397.401.405.409	+	1306	11
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15586084	15642668	435	269.265.261	-	1072	11
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6708791	6782872	435	229.225.221.217.213	-	1178	11
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6682645	6782872	448	205.209.213.217.221.225.229	+	1251	54
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15901487	15967411	448	365.369.373.377.381.385.389.397.401	+	2036	54
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6682645	6896022	448	205.209.213.217.221.225.229.233.237	+	761	54
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15964255	15967411	448	401	+	2178	54
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5726690	5731122	465	169	+	808	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15732146	15772296	465	285.289.293.297.301.305.309	+	1713	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15772360	15900101	465	317.321.325.329.333.337.341.345.349.353.357	+	1015	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15834730	15846297	465	337	+	990	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6897385	6911323	465	249	+	802	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5726690	5813617	465	169.173.177.181	+	162	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15786600	15790050	465	321	-	1587	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16061901	16081552	465	433.437	+	894	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15586084	15619721	465	261	+	1134	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15770463	15772296	465	309	+	1911	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15848494	15967411	465	345.349.353.357.361.365.369.373.377.381.385.389.397.401	+	2035	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6682645	6782872	465	205.209.213.217.221.225.229	+	1251	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16081552	16123711	465	445.449.453.457	+	784	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5825040	5831928	465	193	+	830	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5813617	5822690	465	185	-	834	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15790050	15793694	465	325	+	2476	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15898449	15900101	465	357	+	1669	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15834730	15846297	465	337	+	990	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6897385	6911323	465	249	+	802	10
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5726690	5813617	478	169.173.177.181	+	162	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5813617	5822690	478	185	-	834	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15790050	15793694	478	325	+	2476	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15898449	15900101	478	357	+	1669	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15834730	15846297	478	337	+	990	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6897385	6911323	478	249	+	802	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5726690	5813617	478	169.173.177.181	+	162	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5813617	5822690	478	185	-	834	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5822690	5825040	478	189	+	43	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16094709	16123711	478	457	-	808	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6772375	6782872	478	229	+	1350	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15901487	15967411	478	365.369.373.377.381.385.389.397.401	+	2036	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6682645	6782872	478	205.209.213.217.221.225.229	+	1251	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16081552	16123711	478	445.449.453.457	+	784	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5825040	5831928	478	193	+	830	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5813617	5822690	478	185	-	834	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15790050	15793694	478	325	+	2476	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15898449	15900101	478	357	+	1669	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15834730	15846297	478	337	+	990	16
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6897385	6911323	478	249	+	802	16
CHP212_WGS_14122021	hg38	decoil_v108_01072023	chr2	11551952	11785250	1	17	+	434	435
CHP212_WGS_14122021	hg38	decoil_v108_01072023	chr2	12622737	12757962	1	41	+	495	435
CHP212_WGS_14122021	hg38	decoil_v108_01072023	chr2	15582776	16072478	1	57	+	450	435
CHP212_WGS_14122021	hg38	decoil_v108_01072023	chr2	12462516	12622529	1	33	+	462	435
CHP212_WGS_14122021	hg38	decoil_v108_01072023	chr2	11786086	12459664	1	25	+	472	435
LAN5_01012021	hg19	decoil_v108_01072023	chr2	15489976	15632906	14	185	-	548	226
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16493990	17114869	14	293.289.285	-	474	226
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16421910	16490233	14	277	-	514	226
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16404716	16421910	14	257.261.269.273	+	374	226
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16403746	16404716	14	253	-	281	226
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16419330	16732998	14	273.277.281.285	+	436	226
LAN5_01012021	hg19	decoil_v108_01072023	chr2	15489976	15796492	16	185.189	+	419	25
LAN5_01012021	hg19	decoil_v108_01072023	chr2	15796492	15984819	16	201.197.193	-	202	25
LAN5_01012021	hg19	decoil_v108_01072023	chr2	15984819	16043908	16	205	+	293	25
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16134787	16258326	16	221.217	-	397	25
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16043908	16131381	16	209	-	523	25
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16258326	16271868	16	225	+	534	25
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16273800	16279726	16	233	+	399	25
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16329725	16403746	16	241.245.249	+	455	25
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16407878	16419330	16	269	-	474	25
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16403746	16406394	16	257.253	-	392	25
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16419330	17114869	16	273.277.281.285.289.293	+	449	25
LAN5_01012021	hg19	decoil_v108_01072023	chr2	15489976	15796492	18	185.189	+	419	183
LAN5_01012021	hg19	decoil_v108_01072023	chr2	15797250	15984819	18	201.197	-	385	183
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16134787	16252112	18	217	-	522	183
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16043908	16131381	18	209	-	523	183
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16258326	16271868	18	225	+	534	183
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16273800	16279726	18	233	+	399	183
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16329725	16406394	18	241.245.249.253.257	+	436	183
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16407878	16419330	18	269	+	474	183
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16351455	16403746	18	249	-	553	183
LAN5_01012021	hg19	decoil_v108_01072023	chr2	17011773	17114869	18	293	+	536	183
LAN5_01012021	hg19	decoil_v108_01072023	chr2	15974058	16043908	22	201.205	+	393	157
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16043908	16258326	22	221.217.213.209	-	428	157
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16258326	16271868	22	225	+	534	157
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16273800	16279726	22	233	+	399	157
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16329725	16347796	22	241	+	444	157
LAN5_01012021	hg19	decoil_v108_01072023	chr2	15489976	15632906	23	185	+	548	278
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16419330	16732998	23	285.281.277.273	-	359	278
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16403746	16419330	23	253.257.261.269	+	465	278
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16351455	16403746	23	249	-	553	278
LAN5_01012021	hg19	decoil_v108_01072023	chr2	17011773	17114869	23	293	+	536	278
LAN5_01012021	hg19	decoil_v108_01072023	chr2	15797250	16043908	47	197.201.205	+	339	23
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16134787	16258326	47	221.217	-	397	23
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16043908	16131381	47	209	-	523	23
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16258326	16271868	47	225	+	534	23
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16273800	16279726	47	233	+	399	23
LAN5_01012021	hg19	decoil_v108_01072023	chr2	16329725	16347796	47	241	+	444	23
LAN5_01012021	hg19	decoil_v108_01072023	chr2	15974058	16252112	47	201.205.209.213.217	+	442	23
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	chr2	15424423	15960757	3	25.33	+	253	171
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	chr2	17221081	17771312	3	93.97.101.105	+	295	171
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	chr2	16632394	17108277	3	65.73	+	272	171
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	chr2	17153264	17538185	3	93.89.81	-	329	171
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	chr2	16459784	16522472	3	57.53.49	-	262	171
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	chr2	16353539	16459012	3	41	+	262	171
STA-NB-10-DM_26042021	hg38	decoil_v108_01072023	chr2	18572379	18632778	3	113	+	261	171
TR14_WGS_20022022	hg38	decoil_v108_01072023	chr2	2292204	2403180	7	5	-	507	488
TR14_WGS_20022022	hg38	decoil_v108_01072023	chr2	15812368	16321546	7	45.53.57.61.65.69.73.77.85	+	501	488
TR14_WGS_20022022	hg38	decoil_v108_01072023	chr2	3389951	3420333	7	13	+	326	488
TR14_WGS_20022022	hg38	decoil_v108_01072023	chr2	13647219	13712870	7	37	-	524	488
TR14_WGS_20022022	hg38	decoil_v108_01072023	chr2	10160183	10728731	4	29	+	91	89
TR14_WGS_20022022	hg38	decoil_v108_01072023	chr12	56957868	57076161	4	105	-	88	89
TR14_WGS_20022022	hg38	decoil_v108_01072023	chr2	16941259	17944683	8	93	+	24	22
TR14_WGS_20022022	hg38	decoil_v108_01072023	chr1	891164	983014	8	205	-	20	22
TR14_WGS_20022022	hg38	decoil_v108_01072023	chr12	68647575	69657746	9	121	+	109	109
